TimeStamp,TS101,TS102,TS103,TS104,TS105,TS106
3/20/2025 0:00,22.95925765,21.52849731,21.92944423,18.62521977,17.61812979,18.49469603
3/20/2025 0:05,21.40602614,22.23294727,22.37405289,17.18860699,17.65319552,17.07470094
3/20/2025 0:10,21.86848917,21.71689444,21.30233211,18.43909009,17.96582169,17.80172849
3/20/2025 0:15,21.366829,21.61431638,22.120641,18.69021576,17.52953784,17.29616905
3/20/2025 0:20,20.57239577,21.47358932,20.55834913,17.54561859,17.74726623,17.10412145
3/20/2025 0:25,21.27687059,21.34428678,21.39568113,16.79723974,17.18956878,17.42257588
3/20/2025 0:30,20.77659033,21.02158928,20.38812558,16.22288331,17.31546714,17.25309643
3/20/2025 0:35,21.20879776,21.06024916,21.59247458,16.20173781,17.15783121,17.5120917
3/20/2025 0:40,20.5633078,20.66928609,21.15173945,17.21730115,18.10578794,17.86718487
3/20/2025 0:45,20.51638836,20.007203,20.37216725,17.15563003,16.53048386,17.25343241
3/20/2025 0:50,20.26679643,21.19604572,20.9971101,16.72139342,17.07401218,17.25630374
3/20/2025 0:55,20.21154348,19.88175501,20.2994775,16.73960433,16.44250369,17.5653726
3/20/2025 1:00,20.54696335,20.69966863,19.99980166,16.42146271,17.63452062,16.70156086
3/20/2025 1:05,20.37894462,20.34508296,19.4901989,16.95940084,16.73468398,16.91356935
3/20/2025 1:10,19.5535309,19.98691691,19.78417237,16.89677977,17.54747161,16.001101
3/20/2025 1:15,20.26477643,20.06977455,19.41283343,17.54693901,16.72973012,15.74578743
3/20/2025 1:20,20.03549226,20.87271165,19.92607879,15.80118954,16.44216946,17.2814284
3/20/2025 1:25,19.51544667,19.12348055,20.27552008,16.33888627,16.03406871,16.109983
3/20/2025 1:30,19.39208837,19.06849632,19.03247336,16.71731905,15.34551379,16.42583056
3/20/2025 1:35,19.33707564,19.2533185,19.18319952,17.25918576,16.99728403,16.06897609
3/20/2025 1:40,19.38740333,19.43658361,19.29494626,16.49643482,16.41789602,16.71892952
3/20/2025 1:45,19.04807063,18.96102234,19.2137614,16.51032151,16.20130908,15.52564311
3/20/2025 1:50,18.69649591,19.02656813,18.58905596,16.13993048,15.08431818,15.02614441
3/20/2025 1:55,18.98202078,18.52883671,19.26277025,15.78983349,14.75214008,15.06635925
3/20/2025 2:00,19.27120537,18.29668502,19.11646514,15.93759019,15.32410402,16.62001221
3/20/2025 2:05,18.74594354,18.94922505,19.23910282,15.50496205,14.99192491,14.86718264
3/20/2025 2:10,19.12603374,18.46186864,19.26732285,15.6562317,16.00216897,14.57651004
